housing_median_age,households,median_house_value,yearly_median_income,median_rooms,median_bedrooms,ocean_proximity_INLAND,ocean_proximity_ISLAND,ocean_proximity_NEAR BAY,ocean_proximity_NEAR OCEAN
41.0,126.0,452600.0,83252.0,6.984126984126984,1.0238095238095237,0,0,1,0
21.0,1138.0,358500.0,83013.99999999999,6.238137082601054,0.9718804920913884,0,0,1,0
52.0,177.0,352100.0,72574.0,8.288135593220339,1.073446327683616,0,0,1,0
52.0,219.0,341300.0,56430.99999999999,5.8173515981735155,1.0730593607305936,0,0,1,0
52.0,259.0,342200.0,38462.0,6.281853281853282,1.0810810810810811,0,0,1,0
52.0,193.0,269700.0,40368.00000000001,4.761658031088083,1.1036269430051813,0,0,1,0
52.0,514.0,299200.0,36591.0,4.9319066147859925,0.9513618677042801,0,0,1,0
52.0,647.0,241400.0,31200.0,4.797527047913447,1.061823802163833,0,0,1,0
42.0,595.0,226700.0,20804.0,4.294117647058823,1.1176470588235294,0,0,1,0
52.0,714.0,261100.0,36912.0,4.970588235294118,0.9901960784313726,0,0,1,0
52.0,402.0,281500.0,32031.0,5.477611940298507,1.0796019900497513,0,0,1,0
52.0,734.0,241800.0,32705.000000000004,4.772479564032698,1.0245231607629428,0,0,1,0
52.0,468.0,213500.0,30750.0,5.322649572649572,1.0128205128205128,0,0,1,0
52.0,174.0,191300.0,26736.0,4.0,1.0977011494252873,0,0,1,0
52.0,620.0,159200.0,19167.0,4.262903225806451,1.0096774193548388,0,0,1,0
50.0,264.0,140000.0,21250.0,4.242424242424242,1.071969696969697,0,0,1,0
52.0,331.0,152500.0,27750.0,5.9395770392749245,1.0483383685800605,0,0,1,0
52.0,303.0,155500.0,21202.0,4.052805280528053,0.966996699669967,0,0,1,0
50.0,419.0,158700.0,19911.0,5.343675417661098,1.0859188544152745,0,0,1,0
52.0,275.0,162900.0,26033.0,5.465454545454546,1.0836363636363637,0,0,1,0
40.0,166.0,147500.0,13577.999999999998,4.524096385542169,1.108433734939759,0,0,1,0
42.0,366.0,159800.0,17135.0,4.478142076502732,1.0027322404371584,0,0,1,0
52.0,478.0,113900.0,17250.0,5.096234309623431,1.1317991631799162,0,0,1,0
52.0,325.0,99700.0,21806.0,5.193846153846154,1.0369230769230768,0,0,1,0
52.0,422.0,132600.0,26000.0,5.270142180094787,1.0355450236966826,0,0,1,0
41.0,119.0,107500.0,24038.0,4.495798319327731,1.0336134453781514,0,0,1,0
49.0,239.0,93800.0,24597.000000000004,4.7280334728033475,1.0209205020920502,0,0,1,0
52.0,397.0,105500.0,18080.0,4.7808564231738035,1.0604534005037782,0,0,1,0
50.0,473.0,108900.0,16424.0,4.40169133192389,1.040169133192389,0,0,1,0
52.0,155.0,132000.0,16875.0,4.703225806451613,1.032258064516129,0,0,1,0
49.0,378.0,122300.0,19274.0,5.068783068783069,1.1825396825396826,0,0,1,0
52.0,441.0,115200.0,19615.0,4.882086167800454,1.090702947845805,0,0,1,0
48.0,335.0,110400.0,17969.0,5.737313432835821,1.2208955223880598,0,0,1,0
49.0,329.0,104900.0,13750.0,5.0303951367781155,1.1124620060790273,0,0,1,0
51.0,536.0,109700.0,27303.0,4.972014925373134,1.0708955223880596,0,0,1,0
49.0,264.0,97200.0,14861.0,4.6022727272727275,1.0681818181818181,0,0,1,0
48.0,374.0,104500.0,10972.0,4.807486631016043,1.1550802139037433,0,0,1,0
52.0,403.0,103900.0,14103.000000000002,3.7493796526054592,0.967741935483871,0,0,1,0
52.0,309.0,191400.0,34800.0,4.757281553398058,1.0679611650485437,0,0,1,0
52.0,696.0,176000.0,25898.0,3.4942528735632186,1.0272988505747127,0,0,1,0
52.0,395.0,155400.0,20978.0,4.215189873417722,1.0607594936708862,0,0,1,0
51.0,249.0,150000.0,12851.999999999998,3.7590361445783134,1.248995983935743,0,0,1,0
49.0,189.0,118800.0,10250.0,3.7724867724867726,1.0687830687830688,0,0,1,0
52.0,198.0,188800.0,39643.0,4.797979797979798,1.02020202020202,0,0,1,0
52.0,292.0,184400.0,30125.0,4.941780821917808,1.0650684931506849,0,0,1,0
52.0,382.0,182300.0,26768.0,4.335078534031414,1.0994764397905759,0,0,1,0
50.0,304.0,142500.0,20259.999999999996,3.700657894736842,1.0592105263157894,0,0,1,0
43.0,253.0,137500.0,17348.0,3.9802371541501977,1.233201581027668,0,0,1,0
40.0,160.0,187500.0,9506.0,3.9,1.21875,0,0,1,0
40.0,352.0,112500.0,17750.0,2.6875,1.0653409090909092,0,0,1,0
21.0,438.0,171900.0,9218.0,2.045662100456621,1.0342465753424657,0,0,1,0
43.0,407.0,93800.0,15045.0,4.58968058968059,1.1203931203931203,0,0,1,0
41.0,720.0,97500.0,11108.0,4.473611111111111,1.1847222222222222,0,0,1,0
52.0,400.0,104200.0,12475.0,4.075,1.14,0,0,1,0
52.0,233.0,87500.0,16097.999999999998,5.021459227467811,1.0085836909871244,0,0,1,0
52.0,220.0,83100.0,14113.0,4.295454545454546,1.1045454545454545,0,0,1,0
52.0,259.0,87500.0,15057.0,4.77992277992278,1.111969111969112,0,0,1,0
52.0,244.0,85300.0,8172.0,6.102459016393443,1.3729508196721312,0,0,1,0
52.0,304.0,80300.0,12171.0,4.5625,1.1217105263157894,0,0,1,0
2.0,57.0,60000.0,25625.0,2.7719298245614037,0.7543859649122807,0,0,1,0
52.0,187.0,75700.0,33929.0,5.994652406417113,1.1283422459893049,0,0,1,0
49.0,23.0,75000.0,61182.99999999999,5.869565217391305,1.2608695652173914,0,0,1,0
50.0,122.0,86100.0,9011.0,6.229508196721311,1.5573770491803278,0,0,1,0
52.0,159.0,76100.0,11910.0,7.69811320754717,1.490566037735849,0,0,1,0
48.0,133.0,73500.0,25938.0,6.225563909774436,1.368421052631579,0,0,1,0
52.0,187.0,78400.0,11667.0,5.401069518716578,1.1176470588235294,0,0,1,0
48.0,332.0,84400.0,8056.0,4.382530120481928,1.0662650602409638,0,0,1,0
52.0,147.0,81300.0,26094.0,6.98639455782313,1.6598639455782314,0,0,1,0
52.0,82.0,85000.0,18516.0,6.975609756097561,1.329268292682927,0,0,1,0
46.0,611.0,129200.0,9802.0,4.584288052373159,1.0540098199672667,0,0,1,0
26.0,127.0,82500.0,17719.0,6.047244094488189,1.1968503937007875,0,0,1,0
46.0,277.0,95200.0,7286.0,3.375451263537906,1.0722021660649819,0,0,1,0
49.0,152.0,75000.0,17500.0,5.552631578947368,1.3421052631578947,0,0,1,0
46.0,7.0,67500.0,4999.0,1.7142857142857142,0.5714285714285714,0,0,1,0
20.0,133.0,137500.0,24830.0,6.2781954887218046,1.2105263157894737,0,0,1,0
17.0,439.0,177500.0,9241.0,2.8177676537585423,1.0523917995444192,0,0,1,0
36.0,509.0,102100.0,24464.0,5.724950884086444,1.1041257367387034,0,0,1,0
19.0,207.0,108300.0,11111.0,5.830917874396135,1.173913043478261,0,0,1,0
23.0,325.0,112500.0,8026.0,5.369230769230769,1.1507692307692308,0,0,1,0
38.0,155.0,131300.0,20114.0,4.412903225806452,1.135483870967742,0,0,1,0
17.0,289.0,162500.0,15000.0,3.1972318339100347,1.0,0,0,1,0
52.0,56.0,112500.0,11667.0,3.75,1.0,0,0,1,0
52.0,87.0,112500.0,15208.0,3.9080459770114944,1.1149425287356323,0,0,1,0
52.0,155.0,137500.0,8075.0,2.490322580645161,1.0580645161290323,0,0,1,0
35.0,169.0,118800.0,18088.0,5.609467455621302,1.0887573964497042,0,0,1,0
52.0,115.0,98200.0,24083.0,6.721739130434782,1.2434782608695651,0,0,1,0
40.0,380.0,118800.0,9770.0,2.3157894736842106,1.186842105263158,0,0,1,0
10.0,330.0,162500.0,7600.0,2.6515151515151514,1.0545454545454545,0,0,1,0
10.0,39.0,137500.0,9722.0,2.6923076923076925,1.0769230769230769,0,0,1,0
52.0,85.0,500001.0,12434.0,2.929411764705882,0.9176470588235294,0,0,1,0
16.0,362.0,162500.0,20938.0,2.74585635359116,1.0828729281767955,0,0,1,0
52.0,88.0,137500.0,8668.0,2.4431818181818183,0.9886363636363636,0,0,1,0
52.0,34.0,162500.0,7500.0,2.823529411764706,0.9117647058823529,0,0,1,0
27.0,302.0,187500.0,26354.000000000004,3.493377483443709,1.1490066225165563,0,0,1,0
39.0,467.0,179200.0,18477.0,3.6723768736616704,1.3340471092077089,0,0,1,0
36.0,2323.0,130000.0,20096.0,2.294016358157555,1.066293585880327,0,0,1,0
31.0,1180.0,183800.0,28344.999999999996,3.8949152542372882,1.1279661016949152,0,0,1,0
29.0,91.0,125000.0,20062.000000000004,3.681318681318681,1.1758241758241759,0,0,1,0
22.0,1250.0,170000.0,12185.0,2.9456,1.016,0,0,1,0
37.0,980.0,193100.0,26104.0,3.7071428571428573,1.1071428571428572,0,0,1,0
29.0,1250.0,257800.0,24912.0,3.7248,1.1312,0,0,1,0
28.0,1497.0,273400.0,32176.999999999996,3.8784235136940546,1.070808283233133,0,0,1,0
39.0,228.0,237500.0,31250.0,3.745614035087719,1.0614035087719298,0,0,1,0
52.0,613.0,350000.0,25795.0,3.5154975530179446,1.1435562805872757,0,0,1,0
34.0,1789.0,335700.0,28405.999999999996,3.281721632196758,1.0698714365567357,0,0,1,0
52.0,244.0,313400.0,49306.0,6.184426229508197,0.9221311475409836,0,0,1,0
52.0,456.0,268500.0,32727.0,4.442982456140351,1.0570175438596492,0,0,1,0
52.0,422.0,259400.0,31690.999999999996,4.165876777251185,1.0900473933649288,0,0,1,0
52.0,718.0,275700.0,39000.0,4.848189415041783,1.0459610027855153,0,0,1,0
28.0,802.0,225000.0,39063.0,4.160847880299252,1.0660847880299251,0,0,1,0
52.0,253.0,262500.0,50917.0,5.628458498023716,1.1422924901185771,0,0,1,0
32.0,1022.0,218500.0,26429.0,3.7270058708414875,1.0743639921722115,0,0,1,0
26.0,1217.0,255000.0,30233.0,3.2530813475760065,0.9827444535743632,0,0,1,0
52.0,519.0,224100.0,31484.0,4.578034682080925,1.0770712909441233,0,0,1,0
35.0,422.0,243100.0,34722.0,3.822274881516588,1.014218009478673,0,0,1,0
52.0,291.0,231600.0,31429.0,4.3951890034364265,0.9862542955326461,0,0,1,0
28.0,1661.0,218500.0,24234.0,3.0234798314268514,1.053582179409994,0,0,1,0
52.0,1037.0,234100.0,30897.0,4.040501446480231,1.0655737704918034,0,0,1,0
50.0,373.0,327600.0,58596.0,6.742627345844504,1.0697050938337802,0,0,1,0
47.0,485.0,347600.0,52868.00000000001,6.546391752577319,0.9360824742268041,0,0,1,0
41.0,376.0,366100.0,59560.00000000001,6.851063829787234,1.0797872340425532,0,0,1,0
37.0,47.0,335000.0,49643.0,7.1063829787234045,1.148936170212766,0,0,1,0
52.0,403.0,373600.0,63434.0,6.947890818858561,1.0198511166253101,0,0,1,0
52.0,555.0,389500.0,51773.0,6.358558558558559,1.0342342342342343,0,0,1,0
52.0,367.0,391100.0,72354.0,7.11716621253406,0.9945504087193461,0,0,1,0
28.0,956.0,337300.0,54570.0,5.5303347280334725,1.096234309623431,0,0,1,0
50.0,479.0,295200.0,75000.0,6.127348643006263,0.9874739039665971,0,0,1,0
44.0,597.0,292300.0,60194.0,5.735343383584589,1.0,0,0,1,0
40.0,654.0,411500.0,75544.0,7.631498470948012,1.0305810397553516,0,0,1,0
30.0,343.0,311500.0,60666.0,6.446064139941691,1.0087463556851313,0,0,1,0
34.0,496.0,325900.0,70548.0,6.125,0.9879032258064516,0,0,1,0
18.0,194.0,392600.0,116016.99999999999,8.335051546391753,1.0824742268041236,0,0,1,0
35.0,443.0,319300.0,74882.0,6.467268623024831,1.0383747178329572,0,0,1,0
34.0,766.0,333300.0,68976.0,6.6122715404699735,1.0287206266318538,0,0,1,0
28.0,190.0,335200.0,82049.0,6.978947368421053,0.968421052631579,0,0,1,0
26.0,211.0,351200.0,84010.0,7.530805687203792,1.0568720379146919,0,0,1,0
29.0,269.0,368900.0,68538.0,6.657992565055762,1.0074349442379182,0,0,1,0
32.0,263.0,365900.0,83170.0,6.977186311787072,1.0038022813688212,0,0,1,0
37.0,176.0,366700.0,70175.0,6.982954545454546,1.0284090909090908,0,0,1,0
39.0,500.0,362800.0,63301.99999999999,7.54,1.068,0,0,1,0
30.0,52.0,483300.0,63624.0,5.615384615384615,0.7307692307692307,0,0,1,0
52.0,350.0,331400.0,70549.0,6.785714285714286,0.9514285714285714,0,0,1,0
45.0,426.0,323500.0,67851.0,6.957746478873239,1.0234741784037558,0,0,1,0
50.0,552.0,216700.0,28929.0,5.132246376811594,1.0960144927536233,0,0,1,0
